matric_number,full_name,department,level,gender,date_of_birth,state_of_origin,gpa,score_maths,score_english,fees_paid,outstanding_fees,hostel,scholarship,phone,legacy_field
FP/2021/10012,ibrahim dan-asabe,Computer Science,HND1,F,1997-12-01,Delta,3.72,38,52,160768.59,40339.3,Block A,None,08067926064,
FP/2021/29579,GRACE PETER,Civil Engineering,ND2,M,2002-06-26,Abuja,3.84,84,50,120909.76,74370.59,Block C,None,08038412721,
FP/2021/24286,CHIOMA NNAJI,Computer Science,ND2,M,2002-08-04,Enugu,4.09,79,64,,42554.12,Block C,Federal Govt,08077479747,
FP/2021/55788,Emeka Okoye,Business Admin,HND2,F,2000-07-09,Enugu,2.93,41,71,148168.23,,Block B,Private,08096315256,
FP/2021/58184,CHIOMA NNAJI,Business Admin,ND1,M,2001-04-23,Rivers,4.97,55,66,181113.83,58400.64,Block B,,08046936430,
FP/2021/38067,GRACE PETER,Civil Engineering,ND1,FEMALE,2001-07-31,Kano,2.51,-2,33,,16123.43,Block C,Private,08029408342,
FP/2021/68813,ALIYU MUSA,Electrical Engineering,HND1,FEMALE,2000-02-13,Delta,2.56,67,8,,96796.33,Off Campus,,08069594201,
FP/2021/36216,ibrahim dan-asabe,Civil Engineering,HND1,MALE,2000-09-02,Rivers,3.17,9,61,149974.73,120754.19,Block A,,08077991289,
FP/2021/82159,ALIYU MUSA,Civil Engineering,ND2,M,1997-03-07,Lagos,,41,18,169560.26,112073.05,Block A,State Govt,08087530598,
FP/2021/14883,ALIYU MUSA,Electrical Engineering,ND2,Female,2000-12-05,Edo,3.81,8,2,54553.3,113748.29,,,08034552436,
FP/2021/94674,Aisha Bello,Statistics,HND1,F,1998-05-09,Oyo,1.84,46,86,197629.87,84773.92,Off Campus,,08038275453,
FP/2021/35760,ibrahim dan-asabe,Statistics,ND1,F,1997-12-24,Enugu,1.74,62,93,110620.18,67940.85,Block A,Private,08093550328,
FP/2021/33514,CHIOMA NNAJI,Mass Communication,HND1,FEMALE,2000-02-04,Kano,1.79,17,50,,88307.09,Block C,None,08037962150,
FP/2021/54558,ibrahim dan-asabe,Computer Science,ND2,F,1997-12-04,Edo,1.52,-2,55,166668.92,13256.75,Block B,Federal Govt,08091707215,
FP/2021/51877,GRACE PETER,Nutrition,ND2,FEMALE,2001-11-23,Rivers,4.49,72,40,96483.86,31829.7,Block B,,08069636232,
FP/2021/35119,ALIYU MUSA,Statistics,HND1,FEMALE,2001-02-23,Kano,2.25,12,16,81386.48,50995.25,Block C,,08058010787,
FP/2021/74911,Aisha Bello,Nutrition,ND1,Female,1998-05-18,Enugu,1.69,97,14,127358.51,69653.66,Block B,State Govt,08083225823,
FP/2021/76266,Emeka Okoye,,HND1,FEMALE,2001-05-03,Lagos,2.78,69,3,178056.86,35418.49,Block B,State Govt,08060404224,
FP/2021/55853,CHIOMA NNAJI,Electrical Engineering,ND2,Female,1999-07-04,Edo,1.57,5,41,57467.23,137669.74,,State Govt,08050595516,
FP/2021/27747,Aisha Bello,Electrical Engineering,ND2,FEMALE,2000-06-07,Oyo,2.85,57,52,165665.32,50935.12,Block B,None,08012187675,
FP/2021/75517,Emeka Okoye,Business Admin,ND2,F,1999-12-17,Kano,2.56,37,95,176425.24,65369.59,,Federal Govt,08050719078,
FP/2021/19426,Aisha Bello,Civil Engineering,HND1,Female,2000-12-19,Delta,2.32,62,34,75419.65,110277.39,Block C,None,08074828982,
FP/2021/41734,ibrahim dan-asabe,Computer Science,HND2,FEMALE,2001-02-09,Delta,3.44,48,35,110994.39,66273.26,Block C,None,08028378829,
FP/2021/50375,ibrahim dan-asabe,Civil Engineering,ND1,FEMALE,2000-01-02,Abuja,3.83,37,81,130023.92,132412.68,,Federal Govt,08038870484,
FP/2021/72981,CHIOMA NNAJI,Nutrition,HND1,Male,1998-10-09,Delta,4.64,-2,53,,33250.31,Block B,Private,08041824305,
FP/2021/57774,segun adeyemi,Statistics,HND2,Male,2001-11-04,Oyo,3.75,78,7,110363.14,26569.01,Block B,,08021106336,
FP/2021/19256,segun adeyemi,Civil Engineering,ND2,M,2002-01-05,Kano,2.65,99,54,136235.26,,,State Govt,08034956688,
FP/2021/61447,Emeka Okoye,Statistics,ND1,M,2000-10-04,Rivers,3.43,4,74,97400.66,55645.29,Block A,None,08018349943,
FP/2021/44822,Emeka Okoye,Mass Communication,ND1,M,2001-07-02,Edo,3.31,73,22,141766.91,712.93,Block B,Private,08053273775,
FP/2021/31042,CHIOMA NNAJI,Computer Science,HND2,Male,2001-03-01,Rivers,1.21,98,77,112517.64,110390.24,Block C,Private,08032661760,
FP/2021/88922,CHIOMA NNAJI,Computer Science,HND2,FEMALE,1998-08-10,Delta,2.28,21,51,64381.52,19242.08,Block C,,08091451642,
FP/2021/85538,CHIOMA NNAJI,Computer Science,ND1,Female,1998-12-08,Abuja,3.97,14,68,126690.54,20237.87,Block C,,08060414318,
FP/2021/96571,segun adeyemi,Business Admin,HND2,Female,1999-05-22,Lagos,3.65,62,34,100435.29,124366.64,,State Govt,08061289554,
FP/2021/36129,ALIYU MUSA,Accountancy,HND2,Female,1998-03-15,Lagos,2.46,70,48,92788.07,136806.75,Block B,State Govt,08079162365,
FP/2021/57704,Aisha Bello,Mass Communication,HND1,Female,1998-04-26,Enugu,4.04,35,36,173430.02,136195.21,Block A,None,08045880496,
FP/2021/19585,Emeka Okoye,Electrical Engineering,HND1,FEMALE,2002-05-26,Rivers,1.03,70,40,,61307.66,,Federal Govt,08054120506,
FP/2021/99219,ibrahim dan-asabe,Electrical Engineering,HND2,MALE,1999-10-03,Edo,3.29,3,4,108304.58,111.21,Block C,Private,08077168853,
FP/2021/77207,CHIOMA NNAJI,Civil Engineering,HND2,F,2001-06-03,Enugu,3.67,16,38,169785.57,,Block A,None,08038816065,
FP/2021/87793,ibrahim dan-asabe,Nutrition,HND2,MALE,2002-11-12,Abuja,3.31,91,96,67378.56,1236.92,Block C,Federal Govt,08041179652,
FP/2021/72097,Aisha Bello,Accountancy,ND2,FEMALE,1999-04-13,Kano,1.26,42,30,117638.31,17047.53,Off Campus,Federal Govt,08095351485,
FP/2021/19561,CHIOMA NNAJI,Nutrition,HND2,F,2001-05-17,Lagos,1.02,67,94,195303.84,28337.83,Block B,None,08042271001,
FP/2021/84055,ALIYU MUSA,Accountancy,HND2,F,2000-07-14,Oyo,2.4,56,19,177384.86,136446.23,Block A,None,08057822485,
FP/2021/79413,ibrahim dan-asabe,Computer Science,ND1,Female,1997-11-11,Edo,,90,89,93689.47,123788.19,Block B,None,08042807422,
FP/2021/26847,ibrahim dan-asabe,Civil Engineering,ND1,Female,2002-05-25,Edo,1.9,6,38,75413.6,19805.47,Block C,State Govt,08030970325,
FP/2021/36328,Emeka Okoye,Civil Engineering,HND2,MALE,1999-04-17,Lagos,3.52,10,6,120727.87,106510.44,Block C,,08015240421,
FP/2021/28012,segun adeyemi,Civil Engineering,HND1,MALE,1997-05-19,Edo,4.57,66,50,180948.43,59326.59,Block B,None,08078341894,
FP/2021/14600,ALIYU MUSA,Accountancy,ND2,Male,2001-02-14,Enugu,1.54,20,93,159083.23,48758.01,Block A,,08056333309,
FP/2021/95616,CHIOMA NNAJI,Civil Engineering,HND1,MALE,2002-11-13,Edo,2.58,84,27,110388.33,61027.2,Off Campus,None,08040704422,
FP/2021/24406,Aisha Bello,Civil Engineering,ND2,Female,1999-03-28,Rivers,,0,90,116962.75,,,Private,08049299545,
FP/2021/84081,ibrahim dan-asabe,Business Admin,ND1,F,2001-09-16,Enugu,4.61,91,53,66202.75,120827.83,Block A,,08069117319,
FP/2021/53438,segun adeyemi,Civil Engineering,ND2,F,2002-04-24,Rivers,3.15,86,68,66537.97,9808.55,Block B,Federal Govt,08050016344,
FP/2021/30362,ALIYU MUSA,Mass Communication,ND2,F,1997-11-08,Kano,4.75,18,98,72896.47,,,Private,08094149040,
FP/2021/11764,Emeka Okoye,Civil Engineering,ND1,M,1999-11-19,Abuja,1.42,17,17,124971.1,,Off Campus,State Govt,08035609435,
FP/2021/69546,CHIOMA NNAJI,Computer Science,HND1,FEMALE,1999-08-01,Abuja,2.05,62,4,64794.89,100853.02,,None,08058867999,
FP/2021/79785,GRACE PETER,Electrical Engineering,HND2,MALE,1998-12-31,Rivers,,7,13,150415.7,124399.36,Block B,Private,08060668414,
FP/2021/62308,ALIYU MUSA,Computer Science,HND1,M,2000-03-04,Rivers,2.15,23,59,105733.67,36300.42,,Private,08047580776,
FP/2021/16070,ALIYU MUSA,Statistics,ND1,FEMALE,1999-01-24,Edo,4.84,95,32,120163.01,92063.0,Off Campus,State Govt,08046492264,
FP/2021/15684,ALIYU MUSA,Accountancy,ND2,Female,2002-03-25,Delta,2.42,34,80,,15679.47,Block B,None,08024660691,
FP/2021/80410,segun adeyemi,Electrical Engineering,HND2,MALE,2002-06-27,Enugu,3.59,8,96,52714.17,5347.03,Off Campus,,08047905558,
FP/2021/15652,CHIOMA NNAJI,Statistics,HND2,MALE,2000-04-24,Enugu,,33,5,133718.09,149599.96,Off Campus,Federal Govt,08068833144,
FP/2021/52738,ALIYU MUSA,Mass Communication,ND1,MALE,2001-09-10,Rivers,4.18,85,34,161530.36,9391.58,Off Campus,Private,08094445593,
FP/2021/45750,CHIOMA NNAJI,Business Admin,ND1,Female,2002-01-19,Edo,4.2,7,36,78905.72,113030.72,Off Campus,,08046086496,
FP/2021/90511,ALIYU MUSA,Computer Science,ND2,Male,2001-08-21,Rivers,2.24,-3,28,,124069.12,Block A,,08062142825,
FP/2021/68305,segun adeyemi,Computer Science,HND2,M,1999-04-04,Kano,4.65,1,12,115387.86,138276.26,,Federal Govt,08016934666,
FP/2021/36000,segun adeyemi,,HND1,Male,2001-02-15,Lagos,4.34,52,94,179235.44,90954.33,Block B,Private,08048803812,
FP/2021/72642,segun adeyemi,Mass Communication,HND1,M,1997-07-24,Lagos,,78,13,132818.67,26584.44,Off Campus,Private,08083881536,
FP/2021/94322,Aisha Bello,Electrical Engineering,HND2,MALE,2001-07-22,Enugu,1.52,95,18,199800.11,119340.18,Block B,,08055195417,
FP/2021/17873,ibrahim dan-asabe,Mass Communication,ND2,Male,2002-12-30,Delta,4.12,63,56,,92763.97,Off Campus,None,08058067455,
FP/2021/60467,ALIYU MUSA,Nutrition,HND2,F,1997-12-07,Abuja,1.45,26,38,73883.32,90550.78,Off Campus,None,08066152585,
FP/2021/28457,ALIYU MUSA,Nutrition,ND1,MALE,1999-04-26,Enugu,,45,88,194422.03,58487.9,Block B,Federal Govt,08062119312,
FP/2021/70329,ibrahim dan-asabe,Electrical Engineering,ND1,FEMALE,1999-12-07,Abuja,4.57,97,27,96357.49,46342.17,Block B,Private,08091785830,
FP/2021/89546,Emeka Okoye,Statistics,HND2,Male,2001-10-06,Kano,2.51,90,27,52003.76,62429.11,Block C,,08082498400,
FP/2021/22883,segun adeyemi,Mass Communication,ND2,FEMALE,1999-10-08,Oyo,,31,8,108185.49,65187.7,Block B,None,08032550803,
FP/2021/84293,ALIYU MUSA,Mass Communication,HND2,MALE,1999-12-25,Abuja,1.6,-4,67,104192.44,19104.52,Off Campus,,08033673767,
FP/2021/66382,ALIYU MUSA,Civil Engineering,HND1,F,1997-05-20,Kano,1.21,76,35,145712.27,25039.7,,Private,08080396027,
FP/2021/83897,ibrahim dan-asabe,Mass Communication,ND2,FEMALE,1998-10-08,Abuja,3.08,32,22,183758.02,12054.53,Block C,None,08084926990,
FP/2021/30554,GRACE PETER,Nutrition,ND2,Male,2001-04-13,Abuja,1.08,68,2,196098.52,24739.21,Block B,Private,08099798393,
FP/2021/60051,ALIYU MUSA,Nutrition,ND1,M,2000-11-28,Edo,3.64,80,51,102612.58,14999.26,Off Campus,Private,08085202925,
FP/2021/72078,GRACE PETER,Business Admin,HND2,Female,1998-10-13,Enugu,1.75,7,59,113245.61,56388.67,Block C,Private,08092527478,
FP/2021/45307,segun adeyemi,Civil Engineering,ND1,MALE,1997-12-03,Lagos,3.49,75,85,173434.74,61078.79,Block C,State Govt,08066539899,
FP/2021/48651,ibrahim dan-asabe,Mass Communication,HND1,F,1998-07-18,Delta,1.49,80,11,122558.79,6036.25,,None,08018244503,
FP/2021/85008,segun adeyemi,Business Admin,HND1,Male,2000-06-18,Delta,1.81,6,22,169586.99,76538.34,Block C,State Govt,08045618822,
FP/2021/67624,ALIYU MUSA,Electrical Engineering,ND1,F,2001-05-02,Kano,1.26,13,40,196750.72,60885.29,,Federal Govt,08019353075,
FP/2021/56242,ALIYU MUSA,Computer Science,ND1,M,1998-09-17,Rivers,,13,62,60842.17,11036.56,Block A,Federal Govt,08080205738,
FP/2021/91192,CHIOMA NNAJI,Computer Science,ND1,MALE,2002-03-03,Edo,2.36,47,22,106132.49,117506.82,Block A,Private,08034312116,
FP/2021/29744,Emeka Okoye,Computer Science,HND1,Male,2000-04-06,Enugu,4.94,50,49,,118751.55,Block A,State Govt,08056438100,
FP/2021/94742,segun adeyemi,Nutrition,HND2,Male,1998-08-15,Kano,4.53,21,41,139003.08,34060.46,Block B,None,08059111075,
FP/2021/63928,ALIYU MUSA,Accountancy,ND2,MALE,1997-10-17,Edo,1.64,91,30,,121094.71,Off Campus,,08028824758,
FP/2021/38369,ALIYU MUSA,Electrical Engineering,HND1,Female,2001-07-13,Rivers,2.48,35,31,,100091.72,Off Campus,State Govt,08063660678,
FP/2021/88279,ibrahim dan-asabe,Computer Science,ND1,F,1999-07-22,Oyo,2.38,40,74,76287.02,33724.32,Off Campus,Private,08044231612,
FP/2021/36292,ALIYU MUSA,Business Admin,HND2,M,1999-07-31,Lagos,1.26,28,1,81000.34,70704.53,Block A,,08031069598,
FP/2021/56840,ALIYU MUSA,Accountancy,HND1,MALE,2000-10-24,Kano,4.59,97,31,149441.68,41863.12,Block A,State Govt,08074606290,
FP/2021/77825,segun adeyemi,Statistics,ND1,MALE,1998-04-25,Kano,,5,55,95143.2,71859.26,Block C,,08075903398,
FP/2021/30859,segun adeyemi,Nutrition,HND1,M,1998-02-26,Abuja,1.31,82,67,123936.08,140517.96,Block C,Federal Govt,08044858600,
FP/2021/29088,Emeka Okoye,Electrical Engineering,HND1,Male,2002-07-08,Oyo,2.19,56,66,163820.15,24911.36,Block A,None,08075344442,
FP/2021/26562,GRACE PETER,Accountancy,HND2,Male,1997-07-05,Rivers,3.8,54,30,161253.16,30755.81,Block A,None,08054229294,
FP/2021/76580,GRACE PETER,Statistics,ND2,Female,2002-12-21,Kano,2.24,68,52,182975.12,123105.38,Block A,Federal Govt,08080246737,
FP/2021/75738,Emeka Okoye,Nutrition,ND2,MALE,2001-07-30,Abuja,4.69,41,93,151380.99,,Off Campus,Private,08025932033,
FP/2021/79803,ibrahim dan-asabe,Statistics,HND1,MALE,2002-10-14,Abuja,4.08,11,59,61862.13,62631.52,Block B,State Govt,08056436850,
FP/2021/86826,Aisha Bello,Statistics,ND2,FEMALE,2002-04-15,Edo,1.44,64,77,100606.23,136970.99,Block C,State Govt,08090809084,
FP/2021/66641,ALIYU MUSA,Business Admin,ND1,F,1999-11-16,Edo,4.49,96,84,144561.07,33716.27,Block C,,08098890668,
FP/2021/48796,GRACE PETER,Accountancy,HND2,MALE,2000-11-10,Oyo,,5,69,,141436.35,Block C,None,08067925750,
FP/2021/41367,Aisha Bello,Electrical Engineering,ND1,F,2002-12-03,Enugu,4.64,36,15,132993.11,34599.54,Block B,,08072779677,
FP/2021/32232,GRACE PETER,Electrical Engineering,ND1,Female,1997-09-09,Oyo,1.3,65,99,138535.3,124922.65,,State Govt,08034044848,
FP/2021/43953,ibrahim dan-asabe,Electrical Engineering,ND2,FEMALE,2001-06-10,Kano,,56,5,197297.91,,Off Campus,,08036950976,
FP/2021/41470,ALIYU MUSA,Statistics,ND2,MALE,1999-12-03,Edo,2.45,16,82,117441.85,,Block A,None,08030366514,
FP/2021/64304,Aisha Bello,Nutrition,HND2,MALE,2002-08-20,Delta,,98,46,63044.08,16291.13,Block B,Federal Govt,08065916239,
FP/2021/85940,Aisha Bello,Statistics,HND1,FEMALE,1998-06-27,Kano,3.43,79,59,64663.0,127570.83,Block B,State Govt,08047682508,
FP/2021/24409,CHIOMA NNAJI,Accountancy,ND1,Male,1998-09-27,Oyo,2.38,14,47,136552.99,112537.39,Block C,State Govt,08027231370,
FP/2021/98421,ALIYU MUSA,,HND2,M,1997-07-19,Oyo,3.08,5,17,195979.03,16276.24,Block A,Private,08098246523,
FP/2021/78051,Aisha Bello,Business Admin,ND2,FEMALE,2000-02-23,Lagos,1.47,-4,40,111329.02,136679.08,Block C,,08011018388,
FP/2021/67810,ALIYU MUSA,Civil Engineering,HND2,F,2000-09-12,Delta,2.65,48,7,78955.04,37586.13,,,08074697412,
FP/2021/20947,CHIOMA NNAJI,Computer Science,ND1,F,1998-10-03,Kano,2.62,8,22,175463.82,149312.8,Block B,State Govt,08084821060,
FP/2021/15586,ALIYU MUSA,Accountancy,ND1,MALE,2002-09-18,Rivers,2.85,73,11,,8853.57,Block A,Private,08071646537,
FP/2021/29780,Aisha Bello,Statistics,ND1,FEMALE,1998-04-08,Rivers,3.37,98,20,101381.65,76331.56,Block C,State Govt,08081010590,
FP/2021/14505,Emeka Okoye,Electrical Engineering,ND2,F,2000-06-03,Lagos,1.77,66,69,199458.82,113269.89,,State Govt,08022655895,
FP/2021/95164,Aisha Bello,Electrical Engineering,ND1,F,2000-02-13,Rivers,4.46,40,41,74656.21,,Block A,Federal Govt,08063245948,
FP/2021/31943,CHIOMA NNAJI,Civil Engineering,ND1,Male,1997-03-10,Rivers,2.76,89,14,159937.34,39132.89,Block A,None,08024815497,
FP/2021/29437,ibrahim dan-asabe,Accountancy,HND2,MALE,2002-06-02,Lagos,1.69,26,55,119355.04,90410.64,Block C,None,08023084422,
FP/2021/45293,CHIOMA NNAJI,Nutrition,HND1,MALE,2000-08-12,Enugu,4.29,73,72,68103.93,46118.08,Off Campus,Private,08027932144,
FP/2021/43145,ALIYU MUSA,Accountancy,HND1,Male,1997-09-01,Rivers,2.38,53,17,125070.35,86813.76,Block B,State Govt,08040157514,
FP/2021/81385,Aisha Bello,Business Admin,HND2,M,1999-02-20,Oyo,2.72,3,35,,91230.36,Block B,Federal Govt,08062966311,
FP/2021/90074,segun adeyemi,Electrical Engineering,ND2,MALE,1998-12-12,Edo,4.08,82,57,119767.38,94683.69,Off Campus,,08074332562,
FP/2021/91229,CHIOMA NNAJI,Nutrition,HND1,Male,2001-04-08,Lagos,,8,76,97959.28,22261.05,,None,08038786864,
FP/2021/63733,CHIOMA NNAJI,Statistics,ND2,Female,1997-12-21,Abuja,3.97,92,16,,48740.48,Block C,Federal Govt,08080101806,
FP/2021/64614,Aisha Bello,Accountancy,ND1,FEMALE,2000-08-29,Abuja,1.69,55,27,137174.86,136360.98,Block C,State Govt,08029940336,
FP/2021/49536,Emeka Okoye,Civil Engineering,ND2,M,2000-04-03,Oyo,2.58,4,44,61751.56,63752.23,Block B,Private,08048788054,
FP/2021/46987,GRACE PETER,Business Admin,HND2,M,2000-06-06,Lagos,4.63,91,15,,149018.68,Off Campus,Private,08045334768,
FP/2021/28409,CHIOMA NNAJI,Business Admin,HND1,F,1998-07-03,Delta,,55,57,155957.77,119737.94,Block C,Federal Govt,08028041501,
FP/2021/94360,Emeka Okoye,Statistics,HND2,MALE,1997-02-20,Lagos,2.72,6,16,63071.07,,,State Govt,08010581440,
FP/2021/36456,ALIYU MUSA,Nutrition,HND1,M,2000-11-14,Kano,,68,51,127238.12,109546.44,,Private,08072124837,
FP/2021/80876,ibrahim dan-asabe,Electrical Engineering,HND1,MALE,2000-01-20,Rivers,,43,90,154484.32,40531.19,Block B,Private,08027913657,
FP/2021/61361,ALIYU MUSA,Nutrition,ND2,M,1999-04-26,Abuja,3.69,71,45,,61828.98,Off Campus,Private,08081953248,
FP/2021/38738,ALIYU MUSA,Nutrition,HND1,FEMALE,2001-06-04,Rivers,4.67,18,19,120536.65,129680.4,,,08023879587,
FP/2021/29043,segun adeyemi,Business Admin,HND1,FEMALE,2001-08-24,Edo,,94,81,155278.24,139725.86,Off Campus,,08026565767,
FP/2021/88928,Emeka Okoye,Mass Communication,ND2,FEMALE,2002-01-27,Abuja,3.92,63,80,124807.47,117186.29,,State Govt,08066235873,
FP/2021/35408,CHIOMA NNAJI,Accountancy,ND2,FEMALE,1999-06-16,Abuja,3.48,89,21,98677.45,121679.13,Off Campus,State Govt,08088276595,
FP/2021/47728,Emeka Okoye,Statistics,ND2,F,2000-04-18,Lagos,,37,57,139126.09,8925.02,Block C,,08074699477,
FP/2021/11365,Aisha Bello,Mass Communication,HND2,F,2002-08-13,Abuja,3.72,62,79,114553.8,17765.79,Off Campus,Private,08044871265,
FP/2021/67639,GRACE PETER,Business Admin,ND2,Female,2002-01-23,Delta,2.67,66,86,88249.22,,,,08041744751,
FP/2021/66379,segun adeyemi,Computer Science,HND2,Male,1998-12-29,Delta,,65,42,,7113.85,Off Campus,None,08062005451,
FP/2021/74179,CHIOMA NNAJI,Mass Communication,ND1,F,2002-12-05,Rivers,2.93,80,35,112235.52,21911.19,Off Campus,State Govt,08072141879,
FP/2021/32732,Aisha Bello,Computer Science,ND1,FEMALE,2000-10-23,Edo,,71,2,72372.19,,Block C,Federal Govt,08014726914,
FP/2021/39883,segun adeyemi,Civil Engineering,HND2,FEMALE,2000-10-17,Kano,3.49,11,86,194493.87,26615.69,Block A,State Govt,08064332571,
FP/2021/37879,Aisha Bello,Mass Communication,HND1,Female,2002-01-21,Rivers,3.3,-1,64,184477.17,,Block B,,08018204666,
FP/2021/92488,GRACE PETER,Statistics,ND1,MALE,1999-04-17,Kano,,59,8,146455.34,13133.36,,None,08055750510,
FP/2021/59669,Aisha Bello,Business Admin,ND1,MALE,1999-01-26,Kano,1.61,7,81,134453.88,48793.31,Block A,None,08070188544,
FP/2021/49914,segun adeyemi,Nutrition,ND2,M,1998-12-21,Edo,2.04,84,83,108456.97,133792.3,Block C,None,08062324523,
FP/2021/17462,ibrahim dan-asabe,Nutrition,ND1,F,1998-06-01,Kano,1.17,20,61,166638.37,136747.09,Block C,None,08076444523,
FP/2021/31971,GRACE PETER,Business Admin,ND1,MALE,1998-12-14,Kano,1.48,85,62,67519.88,122055.27,Block C,,08065625044,
FP/2021/91932,CHIOMA NNAJI,Statistics,HND2,MALE,1999-05-25,Delta,1.93,72,58,65335.99,92854.79,Off Campus,State Govt,08095585346,
FP/2021/64935,Emeka Okoye,Nutrition,ND2,F,2001-06-05,Abuja,2.07,6,48,,34413.73,Block B,State Govt,08084018997,
FP/2021/66704,ALIYU MUSA,Civil Engineering,ND2,F,1997-06-07,Enugu,,73,55,176054.36,97442.64,Block A,Private,08079513782,
FP/2021/48670,ibrahim dan-asabe,Electrical Engineering,HND2,Female,1999-03-12,Oyo,,34,93,190188.98,22227.46,Off Campus,,08011840340,
FP/2021/67667,CHIOMA NNAJI,Nutrition,ND2,MALE,1998-02-11,Oyo,1.56,8,57,75660.75,91174.48,Block A,Private,08089006948,
FP/2021/17370,segun adeyemi,Nutrition,ND2,Female,1997-06-26,Edo,1.78,-2,80,78063.09,25100.86,Block B,,08080424512,
FP/2021/39322,ibrahim dan-asabe,Computer Science,ND1,Male,1999-11-28,Enugu,4.53,42,86,179895.61,86331.07,Block C,Private,08051735026,
FP/2021/64544,GRACE PETER,Accountancy,HND2,FEMALE,2002-09-01,Edo,,1,45,148284.0,,Block A,Federal Govt,08050600257,
FP/2021/31130,ibrahim dan-asabe,Electrical Engineering,ND2,Male,2001-06-03,Enugu,,86,20,139349.82,144812.57,Off Campus,State Govt,08052819811,
FP/2021/55970,CHIOMA NNAJI,Electrical Engineering,HND1,Female,1999-01-31,Enugu,1.13,94,64,82714.6,138286.26,Block A,Federal Govt,08097141827,
FP/2021/11606,GRACE PETER,Civil Engineering,ND1,MALE,2000-10-02,Abuja,3.76,56,49,115400.53,36644.96,Block C,Private,08051324453,
FP/2021/72286,Emeka Okoye,Electrical Engineering,ND1,FEMALE,2000-06-01,Delta,1.1,72,73,182270.49,44965.74,Off Campus,,08016082160,
FP/2021/90909,GRACE PETER,Mass Communication,ND2,FEMALE,1997-05-23,Delta,4.92,56,34,172245.39,136493.22,,,08034001552,
FP/2021/25426,Aisha Bello,Mass Communication,ND2,MALE,1997-03-12,Abuja,2.05,41,25,109158.7,63996.72,,,08023968767,
FP/2021/61262,Aisha Bello,Electrical Engineering,ND2,MALE,1997-03-11,Delta,3.86,60,99,,114820.19,Block B,Private,08081445669,
FP/2021/78878,Aisha Bello,Accountancy,HND1,F,2000-10-28,Oyo,3.45,84,3,170746.77,67117.61,Block A,State Govt,08046945515,
FP/2021/85688,segun adeyemi,Electrical Engineering,HND1,MALE,1999-11-30,Delta,3.51,70,22,146171.05,130314.74,,Federal Govt,08050830206,
FP/2021/11717,GRACE PETER,Nutrition,HND1,FEMALE,1999-04-05,Rivers,4.0,61,41,94503.63,29813.68,Block C,Private,08093009367,
FP/2021/25676,GRACE PETER,,ND2,F,1998-09-26,Rivers,1.66,25,68,68714.86,91764.94,,Private,08072956208,
FP/2021/37157,GRACE PETER,Statistics,ND1,F,2001-02-28,Abuja,1.08,42,66,140846.08,77730.57,,None,08027393342,
FP/2021/43528,ibrahim dan-asabe,Civil Engineering,ND2,F,2000-11-18,Enugu,4.82,-5,1,145969.34,101148.57,,Federal Govt,08078431118,
FP/2021/22643,CHIOMA NNAJI,Business Admin,ND1,MALE,2001-09-20,Oyo,4.32,-4,18,79108.0,18614.15,,State Govt,08049540590,
FP/2021/43085,CHIOMA NNAJI,Mass Communication,HND1,F,1997-08-09,Rivers,,48,43,160236.28,69545.01,Block C,,08087477322,
FP/2021/36621,Emeka Okoye,Statistics,HND1,M,2002-02-14,Delta,4.24,61,91,154798.32,72203.78,Block A,,08070858734,
FP/2021/52259,segun adeyemi,Civil Engineering,HND1,M,1998-04-25,Enugu,2.03,-2,58,54551.4,57634.5,Off Campus,State Govt,08037638231,
FP/2021/38146,GRACE PETER,Computer Science,HND1,MALE,2002-05-31,Abuja,,91,86,131301.2,82520.36,Block C,,08073565532,
FP/2021/49319,GRACE PETER,Computer Science,ND1,M,1998-11-12,Lagos,4.85,55,3,64947.24,135328.8,,,08019736582,
FP/2021/37588,segun adeyemi,Civil Engineering,HND2,MALE,2000-05-13,Lagos,4.13,79,1,119095.63,76738.31,Block C,Private,08047863158,
FP/2021/41631,segun adeyemi,Mass Communication,ND2,Male,1999-05-01,Edo,4.03,17,22,111292.91,59197.86,Block B,,08022553475,
FP/2021/61782,Emeka Okoye,Statistics,HND1,Female,2001-08-21,Enugu,1.84,72,48,117529.9,135447.05,Block C,State Govt,08066524338,
FP/2021/63798,Emeka Okoye,Business Admin,ND1,F,1997-09-20,Enugu,4.4,61,16,78634.39,67424.51,Off Campus,Private,08038958675,
FP/2021/30059,CHIOMA NNAJI,Mass Communication,ND1,FEMALE,1999-11-17,Rivers,3.47,25,50,82546.65,,Block C,State Govt,08091720488,
FP/2021/12075,ALIYU MUSA,Business Admin,HND2,Female,1999-07-05,Oyo,3.74,50,46,158442.73,79720.92,Block C,None,08093179991,
FP/2021/81027,ibrahim dan-asabe,Computer Science,ND1,FEMALE,2002-04-18,Enugu,2.82,96,73,83413.49,113899.22,Block B,None,08035985035,
FP/2021/33978,CHIOMA NNAJI,Civil Engineering,HND2,Female,1997-01-21,Lagos,3.37,76,18,57244.81,44368.42,,,08026443017,
FP/2021/81081,segun adeyemi,Statistics,HND1,FEMALE,2002-05-08,Delta,1.34,57,99,111685.52,15953.63,Block B,State Govt,08093713051,
FP/2021/41862,Aisha Bello,Accountancy,ND2,MALE,2000-03-26,Rivers,4.61,63,34,181768.94,172.73,Block B,State Govt,08094044340,
